#since we restart everything set timestep to 0
reset_timestep   0
#directives for computing properties
compute          csym all centro/atom fcc
compute          peratom all pe/atom


# --- STORE INITIAL LENGTH AND SPECIFY STRAIN RATE -----------------------------
# assign varaibles for estimating strain and strain rate
# first store length of the sytem
variable        L0 equal $(lx)
variable        L0 equal 151.75464058626582187
# assign a strain rate which should equilibriate after each step
variable        srate equal 0.013e10
variable        srate1 equal "v_srate / 1.05e15"
print            "${srate1}"
1.23809523809524e-07
# fix for deforming the system in x-direction
fix             2 all deform 1 x erate ${srate1} units box remap x
fix             2 all deform 1 x erate 1.23809523809524e-07 units box remap x


# ---- SPECIFY COMPUTES --------------------------------------------------------
# Output strain and stress information to file
# for units metal, pressure is in [bar] = 100kPa = 1/10000 [GPa]
# for units real, pressure is in [atm] = 101.325 [kPa] = 101.325e-6 [GPa]
# p1, p2, p3, p4 aer in GPa
variable       strain equal "(lx - v_L0)/v_L0"
variable       p1 equal "v_strain"
variable       p2 equal "-pxx*101.325e-6"
variable       p3 equal "-pyy*101.325e-6"
variable       p4 equal "-pzz*101.325e-6"


# ---- STORE INITIALS AND ENFORCE DEFORMATION ----------------------------------
# fix for writing the strain and stresses to file
fix            def1 all print 100 "{p1}_{p2}_{p3}_{p4}" file stress_strain.txt screen no
# writing trajectory
dump           2 all atom 5000 ./dump/dump.tensile_*.atom
dump           3 all cfg 5000 ./dump/dump.test.*.cfg mass type xs ys zs id type c_peratom
dump           4 all atom 5000 ./dump/dump.xyz_*.xyz
# display thermo
thermo          1000
thermo_style   custom step v_strain temp v_p2 v_p3 v_p4 ke pe press
#run the simulation
run            ${Steps}
run            200000
Neighbor list info ...
  2 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 22 22 1
Memory usage per processor = 5.91748 Mbytes
Step v_strain Temp v_p2 v_p3 v_p4 KinEng PotEng Press 
   62000 0.0076761905    9.7988645  0.091372878 -0.00062423915            0    35.030792   -1368.1063   -447.80971 
   63000       0.0078    9.7988645  0.092528819 -0.00019572435            0    35.030792   -1368.0643    -455.6284 
   64000 0.0079238095    9.7988645    0.0936823 0.0002320979            0    35.030792   -1368.0218   -463.43152 
   65000  0.008047619    9.7988645  0.094830316 0.00065867304            0    35.030792   -1367.9769   -471.20152 
   66000 0.0081714286    9.7988645  0.095978048 0.0010850684            0    35.030792    -1367.933   -478.96924 
   67000 0.0082952381    9.7988645  0.097124182 0.0015108198            0    35.030792   -1367.8891   -486.72589 
   68000 0.0084190476    9.7988645  0.098267874 0.0019358829            0    35.030792   -1367.8447    -494.4671 
   69000 0.0085428571    9.7988645   0.09940913 0.0023602587            0    35.030792   -1367.7999   -502.19289 
   70000 0.0086666667    9.7988645   0.10054563 0.0027836013            0    35.030792   -1367.7531    -509.8901 
   71000 0.0087904762    9.7988645   0.10168203 0.0032066063            0    35.030792   -1367.7073   -517.58515 
   72000 0.0089142857    9.7988645     0.102816 0.0036289272            0    35.030792   -1367.6611   -525.26487 
   73000 0.0090380952    9.7988645   0.10394618 0.0040501561            0    35.030792   -1367.6134    -532.9205 
   74000 0.0091619048    9.7988645   0.10507533 0.0044711124            0    35.030792   -1367.5663   -540.56964 
   75000 0.0092857143    9.7988645   0.10620206 0.0048913879            0    35.030792   -1367.5186   -548.20353 
   76000 0.0094095238    9.7988645   0.10732558 0.0053108946            0    35.030792   -1367.4701    -555.8178 
   77000 0.0095333333    9.7988645   0.10844597  0.005729572            0    35.030792   -1367.4205   -563.41248 
   78000 0.0096571429    9.7988645   0.10956386 0.0061476655            0    35.030792   -1367.3705   -570.99201 
   79000 0.0097809524    9.7988645     0.110681 0.0065652284            0    35.030792   -1367.3211   -578.56518 
   80000 0.0099047619    9.7988645   0.11179273 0.0069815825            0    35.030792   -1367.2692   -586.10567 
   81000  0.010028571    9.7988645   0.11290372 0.0073973938            0    35.030792   -1367.2178   -593.63986 
   82000  0.010152381    9.7988645   0.11401286 0.0078128979            0    35.030792   -1367.1665   -601.16339 
   83000   0.01027619    9.7988645   0.11511962 0.0082277352            0    35.030792   -1367.1147   -608.67189 
