run 40000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 9 9 9
Memory usage per processor = 3.8843 Mbytes
Step Time Lx Ly Lz Press Density Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
     285          285    66.452769    66.452769    66.452769   -5.3300706     2.614915    20.629704   -30.243431   -6.3764853   -10845.466    103.06051   -10845.466    1635.2458   -9210.2202 
     290          290    66.479109    66.479109    66.479109    -27.09818    2.6118081  -0.45407434   -52.063184   -28.777283   -10846.906    103.76791   -10846.906    1646.4701   -9200.4355 
     295          295    66.414684    66.414684    66.414684    27.599308    2.6194161    55.713032    1.8696301    25.215262   -10854.253      104.771   -10854.253    1662.3859    -9191.867 
     300          300    66.394523    66.394523    66.394523    44.915996     2.621803    74.060295    18.832606    41.855088   -10858.554    105.63885   -10858.554     1676.156   -9182.3976 
     305          305    66.539046    66.539046    66.539046   -76.619954    2.6047564   -47.967101   -101.71597   -80.176793   -10851.698    105.97717   -10851.698    1681.5241   -9170.1737 
     310          310    66.478359    66.478359    66.478359   -26.323995    2.6118964    3.6673196   -52.065983   -30.573322   -10858.821    106.95784   -10858.821    1697.0842   -9161.7369 
     315          315    66.329919    66.329919    66.329919    101.70409    2.6294712    133.84539    74.638542    96.628339   -10869.738    108.20895   -10869.738    1716.9353   -9152.8023 
     320          320    66.464052    66.464052    66.464052   -13.382292    2.6135836    18.164964   -39.496134   -18.815708   -10863.802    108.51964   -10863.802    1721.8651   -9141.9367 
     325          325    66.543696    66.543696    66.543696   -78.319263    2.6042104   -46.917023   -103.86763   -84.173132   -10859.086    108.97941   -10859.086    1729.1601   -9129.9262 
     330          330    66.404018    66.404018    66.404018    40.219794    2.6206786    73.520625    13.510113    33.628644   -10869.523    110.13024   -10869.523    1747.4202    -9122.103 
     335          335    66.404169    66.404169    66.404169    42.114777    2.6206606    75.888561    15.403076    35.052695   -10869.581    110.78965   -10869.581    1757.8829   -9111.6983 
     340          340    66.493837    66.493837    66.493837   -31.179125     2.610073    2.1148873   -57.139344    -38.51292   -10863.069    111.11503   -10863.069    1763.0457   -9100.0237 
     345          345    66.467792    66.467792    66.467792   -6.2209947    2.6131424    27.642363    -32.31699   -13.988357   -10863.678      111.791   -10863.678    1773.7713   -9089.9071 
     350          350    66.442712    66.442712    66.442712    18.778554    2.6161026    53.149526    -7.384321    10.570456   -10863.443    112.42941   -10863.443    1783.9008   -9079.5426 
     355          355    66.470866    66.470866    66.470866   -0.5712651    2.6127799    33.633944   -26.324208   -9.0235314    -10858.95    112.85239    -10858.95    1790.6122   -9068.3376 
     360          360     66.49498     66.49498     66.49498   -15.735893    2.6099383    18.267792    -41.04622   -24.429251   -10854.029    113.25332   -10854.029    1796.9737   -9057.0555 
     365          365    66.469854    66.469854    66.469854    10.988736    2.6128992    45.186146   -14.207084    1.9871468   -10851.957    113.78871   -10851.957    1805.4686   -9046.4883 
     370          370     66.46688     66.46688     66.46688     19.74639    2.6132499    53.819107    -5.117139    10.537202   -10847.748     114.2179   -10847.748    1812.2785   -9035.4693 
     375          375    66.530867    66.530867    66.530867   -26.996235    2.6057172    6.1753488   -50.959966   -36.204089   -10838.292    114.38695   -10838.292    1814.9608    -9023.331 
     380          380    66.523444    66.523444    66.523444   -13.587582    2.6065896    19.293677    -37.12002   -22.936403   -10833.434    114.77319   -10833.434    1821.0893   -9012.3452 
     385          385    66.460325    66.460325    66.460325      47.3841    2.6140232    80.442713    23.964454    37.745132   -10831.699    115.33061   -10831.699    1829.9337    -9001.765 
     390          390    66.532283    66.532283    66.532283   -4.9941191    2.6055508    26.819387    -27.29585   -14.505895   -10820.664    115.40023   -10820.664    1831.0383   -8989.6254 
     395          395    66.605796    66.605796    66.605796   -56.868098     2.596933   -26.343753   -78.045723   -66.214819   -10808.531     115.4437   -10808.531    1831.7281   -8976.8028 
     400          400    66.498399    66.498399    66.498399     41.06275    2.6095358    71.808146    19.992631    31.387474   -10809.289    116.10227   -10809.289    1842.1776   -8967.1117 
     405          405    66.479797    66.479797    66.479797      66.2203    2.6117269    96.297069     45.87579     56.48804   -10803.206    116.44723   -10803.206    1847.6509   -8955.5548 
     410          410    66.688944    66.688944    66.688944   -96.510292    2.5872316    -69.04846   -114.85803   -105.62438   -10780.575     115.9863   -10780.575    1840.3375   -8940.2376 
     415          415     66.62539     66.62539     66.62539    -36.07486    2.5946426   -9.0622695   -53.865141    -45.29717   -10778.566    116.46762   -10778.566    1847.9745   -8930.5918 
     420          420    66.452389    66.452389    66.452389    119.40078    2.6149598    146.77992    101.68112     109.7413   -10781.913    117.34412   -10781.913    1861.8818   -8920.0308 
     425          425    66.627385    66.627385    66.627385   -18.243141    2.5944095    6.7044402   -34.081253   -27.352609   -10763.502    116.99786   -10763.502    1856.3877   -8907.1148 
     430          430     66.66207     66.66207     66.66207   -36.631903    2.5903619   -13.021927   -51.300097   -45.573687   -10753.431    117.14551   -10753.431    1858.7305   -8894.7006 
